"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Sgcd",2.01114512378718e-14,-0.523852662684744,0.723,0.743,5.03731519154975e-10,"Sgcd","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ptprt",4.90261752183254e-14,-1.04385876463922,0.267,0.333,1.2279586106934e-09,"Ptprt","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Arpp21",2.09252941204465e-13,0.358597676923485,1,0.984,5.24115841834822e-09,"Arpp21","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Kirrel3",5.87550824797902e-13,-0.388592523724365,0.42,0.358,1.4716385508713e-08,"Kirrel3","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Marcks",6.53872883427451e-13,-2.11846767389601,0.216,0.317,1.63775541112074e-08,"Marcks","ExN_56","24hrvs1hr_SAL","Down","Sig"
"mt-Nd2",1.4544633261288e-12,-1.87534845532159,0.32,0.489,3.64299429295482e-08,"mt-Nd2","ExN_56","24hrvs1hr_SAL","Down","Sig"
"A230006K03Rik",9.01781395325905e-12,-0.60526228291898,0.522,0.631,2.25869186087279e-07,"A230006K03Rik","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Hsp90aa1",1.40074008329893e-11,-1.77917409636244,0.427,0.549,3.50843368663882e-07,"Hsp90aa1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Cwc22",2.34569436013036e-11,0.72753928520654,0.964,0.689,5.87526066381851e-07,"Cwc22","ExN_56","24hrvs1hr_SAL","Up","Sig"
"mt-Nd4",6.51982279239127e-11,-1.68989769973976,0.32,0.462,1.63302001481024e-06,"mt-Nd4","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Gapdh",7.31615889910419e-11,-1.84284133224303,0.235,0.333,1.83247831945863e-06,"Gapdh","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Actg1",8.66009096866918e-11,-1.63920737497927,0.449,0.56,2.16909298492257e-06,"Actg1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",8.78325707670575e-11,-1.45503092487249,0.522,0.563,2.19994240000249e-06,"Hsp90ab1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Zswim6",1.53033862588605e-10,-0.410747361469008,0.561,0.47,3.8330391562568e-06,"Zswim6","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ryr2",1.66267528715515e-10,0.430191848299279,0.988,0.844,4.16450279173751e-06,"Ryr2","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Grid1",2.32788583409155e-10,-0.390262173527858,0.888,0.765,5.83065564864911e-06,"Grid1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Cacnb4",3.19387862223259e-10,0.76273330205658,0.942,0.686,7.99970778510596e-06,"Cacnb4","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Mmp16",1.16386292827468e-09,-0.391463770540935,0.981,0.964,2.91512747644959e-05,"Mmp16","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Agbl4",1.59556281880222e-09,-0.507452023055426,0.791,0.689,3.99640619225392e-05,"Agbl4","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ptprz1",1.60051456803261e-09,-1.07624476523171,0.248,0.287,4.00880883855127e-05,"Ptprz1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"mt-Cytb",2.30454142414985e-09,-1.65907548745666,0.313,0.413,5.77218490506813e-05,"mt-Cytb","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Garnl3",2.60466666159819e-09,1.04332575048276,0.9,0.555,6.52390858730498e-05,"Garnl3","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Kcnn2",3.2798507895025e-09,0.727575339820187,0.917,0.566,8.21504227246692e-05,"Kcnn2","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Gm12160",3.60424328509708e-09,1.76403105067967,0.267,0.049,9.02754815618265e-05,"Gm12160","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Neo1",3.77333076208322e-09,-0.419958288817349,0.617,0.47,9.45106155978984e-05,"Neo1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Stmn1",4.6971233823138e-09,-1.23584805654267,0.612,0.601,0.000117648849356814,"Stmn1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Uchl1",4.80425558040642e-09,-1.51320332860624,0.374,0.388,0.000120332189522439,"Uchl1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"mt-Co2",4.83019628110701e-09,-1.47259294076288,0.519,0.656,0.000120981926252887,"mt-Co2","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ephb2",4.90681695094693e-09,0.949782180663807,0.689,0.251,0.000122901044170368,"Ephb2","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Tmem178",5.29278968830019e-09,0.819413331566227,0.701,0.29,0.000132568503322855,"Tmem178","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Tubb3",6.39385774463191e-09,-1.46722607639752,0.512,0.571,0.000160146954929795,"Tubb3","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Hspa8",8.08507915493654e-09,-1.66334227757692,0.49,0.62,0.000202506977593695,"Hspa8","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Tmsb10",1.05981973570553e-08,-1.67274549192063,0.294,0.352,0.000265453049202165,"Tmsb10","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Xpo1",1.08701123964887e-08,-0.714101560196723,0.527,0.445,0.000272263705194853,"Xpo1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ndn",1.31678473073048e-08,-2.27039778465001,0.15,0.276,0.000329815071506063,"Ndn","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Cfl1",1.66958709699242e-08,-1.55947095745652,0.252,0.336,0.000418181480183691,"Cfl1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Cdh10",1.71936188631615e-08,-0.456821437657729,0.483,0.432,0.000430648571665606,"Cdh10","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Hnrnpk",2.29517933884477e-08,-0.965292426249493,0.4,0.374,0.00057487356900045,"Hnrnpk","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Syt6",2.31216675279021e-08,1.9348822358978,0.33,0.077,0.000579128406571364,"Syt6","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Zfp949",2.50552088049147e-08,1.89766346320659,0.299,0.036,0.0006275578149367,"Zfp949","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Oxr1",3.39297877377215e-08,-0.470485064727515,0.748,0.56,0.000849839393466711,"Oxr1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ssbp2",3.84786981184877e-08,-0.255603168935391,0.857,0.689,0.000963775951773762,"Ssbp2","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Arhgap20",4.38844971718691e-08,0.61122892423807,0.646,0.29,0.00109917500066381,"Arhgap20","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Unc5c",5.58931787258807e-08,-0.690452012188183,0.456,0.462,0.00139995644754713,"Unc5c","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Vwc2l",5.62858600681396e-08,-0.454431136830359,0.282,0.281,0.00140979193712669,"Vwc2l","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ckb",5.97855780758003e-08,-1.58006123158356,0.291,0.383,0.00149744937406457,"Ckb","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Pde1a",9.04011759871648e-08,-0.602325507076043,0.709,0.757,0.00226427825495052,"Pde1a","ExN_56","24hrvs1hr_SAL","Down","Sig"
"mt-Nd1",9.40465663198072e-08,-1.52118640301984,0.437,0.522,0.00235558434661221,"mt-Nd1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Gm49179",1.08676520370969e-07,0.666035710968629,0.507,0.191,0.00272202080573167,"Gm49179","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Gm16183",1.23082003389643e-07,1.15377861053324,0.442,0.112,0.0030828349389004,"Gm16183","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Magi3",1.73376447956231e-07,-0.472945976741544,0.532,0.393,0.00434255989195971,"Magi3","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Zeb2",1.78851752621949e-07,0.431486480956358,0.864,0.634,0.00447969984792196,"Zeb2","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Snrpn",1.81946508133177e-07,-0.683016469206309,0.595,0.533,0.00455721418921168,"Snrpn","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ubr5",1.82719374820044e-07,-0.389644026598547,0.808,0.628,0.00457657218111765,"Ubr5","ExN_56","24hrvs1hr_SAL","Down","Sig"
"6530403H02Rik",1.83555461232701e-07,-0.459808954658219,0.335,0.32,0.00459751363749546,"6530403H02Rik","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Fyn",2.09480547057463e-07,-0.325007977576507,0.522,0.355,0.00524685926214827,"Fyn","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Ywhae",2.0977098030925e-07,-0.883678367885883,0.481,0.421,0.00525413374380577,"Ywhae","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Maml3",2.71735852212823e-07,1.81003215588155,0.427,0.123,0.00680616789037458,"Maml3","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Fam189a1",3.0494616304174e-07,-0.460841102347702,0.439,0.366,0.00763798654570646,"Fam189a1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Gm1043",4.26107788142607e-07,0.961616918774232,0.515,0.153,0.0106727217696079,"Gm1043","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Atp6v0c",4.67187651590354e-07,-1.28632191025698,0.58,0.577,0.0117016491093836,"Atp6v0c","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Gm40841",5.43123478835104e-07,0.812780833237161,0.68,0.301,0.0136036137743829,"Gm40841","ExN_56","24hrvs1hr_SAL","Up","Sig"
"P4ha1",7.21130650468912e-07,0.752312424465897,0.461,0.153,0.0180621594022948,"P4ha1","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Acvr2a",7.7574712115856e-07,-0.666234197253475,0.687,0.604,0.0194301381436584,"Acvr2a","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Aldoa",8.72107955612701e-07,-1.96401936930605,0.165,0.295,0.0218436879642313,"Aldoa","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Antxr1",9.52186067548009e-07,1.42027684661184,0.333,0.074,0.023849404433875,"Antxr1","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Kcnab1",1.014489553844e-06,-0.488075069126337,0.369,0.292,0.0254099198551306,"Kcnab1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Atg16l2",1.06072031746907e-06,0.246066900130238,0.352,0.134,0.0265678617916478,"Atg16l2","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Ptpn3",1.15507833152616e-06,1.32837864823662,0.277,0.057,0.0289312469697357,"Ptpn3","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Ndfip2",1.55422423097274e-06,0.325113232148589,0.502,0.205,0.0389286543131741,"Ndfip2","ExN_56","24hrvs1hr_SAL","Up","Sig"
"Tuba1b",1.59838039505158e-06,-1.72251540745931,0.216,0.331,0.0400346337548568,"Tuba1b","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Eef1a1",1.60043863723348e-06,-1.09929727244689,0.517,0.454,0.040086186546787,"Eef1a1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Gm49678",1.64948897610599e-06,-0.621712811976941,0.665,0.672,0.0413147503845267,"Gm49678","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Caln1",1.81841678568212e-06,-0.314624036368192,0.871,0.749,0.0455458852309801,"Caln1","ExN_56","24hrvs1hr_SAL","Down","Sig"
"Sbf2",1.88029549207043e-06,-0.314922404358928,0.9,0.798,0.0470957611898881,"Sbf2","ExN_56","24hrvs1hr_SAL","Down","Sig"
