"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",1.17825673109948e-35,-0.948964341674812,0.99,1,2.95117963438487e-31,"Gm42418","CGE","24hrvs1hr_SAL","Down","Sig"
"Tubb2a",6.2254980361809e-21,-1.994344731946,0.387,0.673,1.55930049312223e-16,"Tubb2a","CGE","24hrvs1hr_SAL","Down","Sig"
"AY036118",1.51369298432854e-20,-1.24883132690649,0.749,0.85,3.79134681784769e-16,"AY036118","CGE","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",2.11643033828092e-18,-1.52718471128978,0.668,0.85,5.30102306829222e-14,"Tuba1a","CGE","24hrvs1hr_SAL","Down","Sig"
"Gm47283",5.19976165032304e-18,-2.07238330353917,0.417,0.64,1.30238430055641e-13,"Gm47283","CGE","24hrvs1hr_SAL","Down","Sig"
"Ubb",3.49391637727047e-17,-3.22887423514328,0.095,0.36,8.75121235014935e-13,"Ubb","CGE","24hrvs1hr_SAL","Down","Sig"
"Hspa8",1.02855289748531e-12,-1.57810019291255,0.372,0.551,2.57621644233145e-08,"Hspa8","CGE","24hrvs1hr_SAL","Down","Sig"
"Actg1",1.39730111874708e-12,-1.93321683837643,0.266,0.467,3.4998201121258e-08,"Actg1","CGE","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",5.22517574636524e-12,-1.70122863479244,0.352,0.519,1.3087497691921e-07,"Tubb2b","CGE","24hrvs1hr_SAL","Down","Sig"
"Ckb",5.31113051004399e-12,-1.95583871543651,0.246,0.439,1.33027885885072e-07,"Ckb","CGE","24hrvs1hr_SAL","Down","Sig"
"Ppia",9.85905862259896e-11,-1.6770408436528,0.312,0.486,2.46939841320236e-06,"Ppia","CGE","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",1.04955162438612e-10,-1.30164328638512,0.387,0.505,2.62881195359992e-06,"Hsp90ab1","CGE","24hrvs1hr_SAL","Down","Sig"
"mt-Co3",1.90319884419453e-10,-1.2293719057024,0.628,0.79,4.76694214505403e-06,"mt-Co3","CGE","24hrvs1hr_SAL","Down","Sig"
"Gapdh",3.97484708880311e-10,-2.51642603502822,0.116,0.336,9.95579950332515e-06,"Gapdh","CGE","24hrvs1hr_SAL","Down","Sig"
"mt-Co1",1.09294835258929e-09,-1.51119457879339,0.482,0.65,2.7375077387304e-05,"mt-Co1","CGE","24hrvs1hr_SAL","Down","Sig"
"Snhg11",2.61709347536968e-09,-0.464631329614428,0.884,0.911,6.55503402775843e-05,"Snhg11","CGE","24hrvs1hr_SAL","Down","Sig"
"Tubb5",2.6594530196713e-09,-1.41863720228988,0.362,0.523,6.66113197837071e-05,"Tubb5","CGE","24hrvs1hr_SAL","Down","Sig"
"Cfl1",5.60199454811868e-09,-1.94399289252131,0.141,0.308,0.000140313157446729,"Cfl1","CGE","24hrvs1hr_SAL","Down","Sig"
"A230006K03Rik",1.01358303306319e-08,-0.705135233049868,0.477,0.636,0.000253872142291337,"A230006K03Rik","CGE","24hrvs1hr_SAL","Down","Sig"
"mt-Nd2",1.69319175265658e-08,-1.6127647883979,0.307,0.537,0.000424093738287894,"mt-Nd2","CGE","24hrvs1hr_SAL","Down","Sig"
"Atp1b1",1.79325495332407e-08,-0.856624943907784,0.719,0.715,0.000449156568159079,"Atp1b1","CGE","24hrvs1hr_SAL","Down","Sig"
"Actb",4.69463630642903e-08,-1.10542398262487,0.392,0.491,0.00117586555567128,"Actb","CGE","24hrvs1hr_SAL","Down","Sig"
"Tubb3",7.84578318816609e-08,-1.31592451812296,0.347,0.439,0.00196513331513996,"Tubb3","CGE","24hrvs1hr_SAL","Down","Sig"
"Hsp90aa1",8.63826162410593e-08,-1.31895744052024,0.286,0.425,0.00216362538898981,"Hsp90aa1","CGE","24hrvs1hr_SAL","Down","Sig"
"Ptprn",1.00050733933194e-07,-0.987019991080864,0.563,0.556,0.00250597073282472,"Ptprn","CGE","24hrvs1hr_SAL","Down","Sig"
"Calm1",1.35253431589635e-07,-1.11283422143493,0.317,0.379,0.00338769270102559,"Calm1","CGE","24hrvs1hr_SAL","Down","Sig"
"Ptprm",1.48835709947387e-07,-0.559238242885762,0.462,0.612,0.0037278880270522,"Ptprm","CGE","24hrvs1hr_SAL","Down","Sig"
"Tuba1b",4.69905705477319e-07,-1.8034616551174,0.156,0.299,0.0117697282050904,"Tuba1b","CGE","24hrvs1hr_SAL","Down","Sig"
"Hcn1",6.03809839867234e-07,-0.70727169048181,0.693,0.621,0.0151236250591546,"Hcn1","CGE","24hrvs1hr_SAL","Down","Sig"
"Fgf14",6.45221532672339e-07,-0.330002398325321,0.91,0.949,0.0161608637288441,"Fgf14","CGE","24hrvs1hr_SAL","Down","Sig"
"Auts2",7.56588779301798e-07,0.463310577667263,1,0.986,0.0189502791551721,"Auts2","CGE","24hrvs1hr_SAL","Up","Sig"
"Lrfn5",1.12167281252432e-06,-0.471841253901598,0.824,0.869,0.0280945389352966,"Lrfn5","CGE","24hrvs1hr_SAL","Down","Sig"
"Agbl4",1.2705590053266e-06,-0.488050039857674,0.548,0.617,0.0318236914064153,"Agbl4","CGE","24hrvs1hr_SAL","Down","Sig"
"Cck",1.77179165845123e-06,-1.26198180573635,0.171,0.28,0.044378065669228,"Cck","CGE","24hrvs1hr_SAL","Down","Sig"
"Zeb1",2.39717030608646e-06,1.26405619942648,0.543,0.28,0.0600419246565477,"Zeb1","CGE","24hrvs1hr_SAL","Up","Sig"
"Atp5b",3.19721914160017e-06,-1.13568116322189,0.352,0.449,0.0800807478396595,"Atp5b","CGE","24hrvs1hr_SAL","Down","Sig"
"Atp1a3",4.12140125639795e-06,-0.817294762105893,0.598,0.645,0.103228737268999,"Atp1a3","CGE","24hrvs1hr_SAL","Down","Sig"
"Stmn3",4.96602301320935e-06,-1.0554561138437,0.377,0.467,0.124383978411855,"Stmn3","CGE","24hrvs1hr_SAL","Down","Sig"
"Ctnna2",5.37754715817638e-06,0.325305861255877,0.99,0.981,0.134691423670844,"Ctnna2","CGE","24hrvs1hr_SAL","Up","Sig"
"Cwc22",5.43334162366029e-06,0.703809701055994,0.869,0.626,0.136088907647819,"Cwc22","CGE","24hrvs1hr_SAL","Up","Sig"
"Ralyl",6.25180288912578e-06,-0.561806684501529,0.598,0.603,0.156588906963933,"Ralyl","CGE","24hrvs1hr_SAL","Down","Sig"
"Slc25a4",6.74562525686251e-06,-1.37147696879218,0.241,0.336,0.168957675808635,"Slc25a4","CGE","24hrvs1hr_SAL","Down","Sig"
"Dleu2",7.24492571790031e-06,1.48050710290433,0.352,0.112,0.181463654456249,"Dleu2","CGE","24hrvs1hr_SAL","Up","Sig"
"Col25a1",7.64552424462998e-06,-0.584643071464015,0.312,0.393,0.191497445755247,"Col25a1","CGE","24hrvs1hr_SAL","Down","Sig"
"Egfem1",7.82604583151745e-06,-0.421745606059901,0.794,0.86,0.196018969942018,"Egfem1","CGE","24hrvs1hr_SAL","Down","Sig"
"Syt1",7.87009393027554e-06,-0.333789980750679,0.915,0.939,0.197122242671611,"Syt1","CGE","24hrvs1hr_SAL","Down","Sig"
"Pank1",8.79861628568731e-06,1.06838774816151,0.296,0.07,0.22037894210761,"Pank1","CGE","24hrvs1hr_SAL","Up","Sig"
"Uchl1",2.0726027687069e-05,-0.94000591236078,0.231,0.322,0.519124815478016,"Uchl1","CGE","24hrvs1hr_SAL","Down","Sig"
"Eef1a1",2.15813410690196e-05,-1.10981285306906,0.352,0.444,0.540547849755735,"Eef1a1","CGE","24hrvs1hr_SAL","Down","Sig"
"Grid2",2.62868611589987e-05,0.336004762586928,0.844,0.832,0.658407011449441,"Grid2","CGE","24hrvs1hr_SAL","Up","Sig"
"Unc5d",2.76794443034304e-05,-0.356475547070023,0.548,0.659,0.693287041468022,"Unc5d","CGE","24hrvs1hr_SAL","Down","Sig"
"Camkv",3.26303574085786e-05,-1.0057467450147,0.221,0.29,0.817292562012668,"Camkv","CGE","24hrvs1hr_SAL","Down","Sig"
"Kctd16",3.57101337010671e-05,-0.453291879169421,0.623,0.724,0.894431718810627,"Kctd16","CGE","24hrvs1hr_SAL","Down","Sig"
"Synpr",4.18194005042151e-05,0.411883658279824,0.769,0.584,1,"Synpr","CGE","24hrvs1hr_SAL","Up","Sig"
"Peg3",4.29671868180479e-05,-0.795049039173472,0.633,0.589,1,"Peg3","CGE","24hrvs1hr_SAL","Down","Sig"
"Pcsk1n",4.45631216446831e-05,-1.03905795861856,0.367,0.411,1,"Pcsk1n","CGE","24hrvs1hr_SAL","Down","Sig"
"Dlx6os1",5.0625457677914e-05,0.53161035655583,0.864,0.738,1,"Dlx6os1","CGE","24hrvs1hr_SAL","Up","Sig"
"Grin2a",5.07146933561161e-05,-0.722607544728686,0.497,0.533,1,"Grin2a","CGE","24hrvs1hr_SAL","Down","Sig"
"Ywhaz",5.46267840802912e-05,-0.87986249393491,0.412,0.435,1,"Ywhaz","CGE","24hrvs1hr_SAL","Down","Sig"
"Nkain2",6.07116866113221e-05,-0.24764811767296,0.94,0.977,1,"Nkain2","CGE","24hrvs1hr_SAL","Down","Sig"
"Far1",6.91608096594099e-05,-0.578407034523851,0.457,0.495,1,"Far1","CGE","24hrvs1hr_SAL","Down","Sig"
"Cep350",7.24517213552044e-05,0.933393986068052,0.422,0.159,1,"Cep350","CGE","24hrvs1hr_SAL","Up","Sig"
"Gm4258",7.65650841307875e-05,0.972711564115698,0.658,0.421,1,"Gm4258","CGE","24hrvs1hr_SAL","Up","Sig"
"Atpif1",8.32850898834309e-05,-1.5596098103858,0.196,0.276,1,"Atpif1","CGE","24hrvs1hr_SAL","Down","Sig"
"Gm49179",8.53756439018696e-05,1.3548015653122,0.442,0.159,1,"Gm49179","CGE","24hrvs1hr_SAL","Up","Sig"
"Scn2a",9.08032486164171e-05,-0.283619741104351,0.693,0.724,1,"Scn2a","CGE","24hrvs1hr_SAL","Down","Sig"
"Gabra2",9.69371164618997e-05,-0.55821592675435,0.518,0.547,1,"Gabra2","CGE","24hrvs1hr_SAL","Down","Sig"
"Gnb2",9.70952814991642e-05,-1.51461091421163,0.186,0.262,1,"Gnb2","CGE","24hrvs1hr_SAL","Down","Sig"
"Neto1",0.000113259084060935,-0.31107246453383,0.523,0.514,1,"Neto1","CGE","24hrvs1hr_SAL","Down","Sig"
"Gpi1",0.000117517183063752,-0.706458060530385,0.362,0.374,1,"Gpi1","CGE","24hrvs1hr_SAL","Down","Sig"
"Prox1",0.000117965168179994,0.431822541271737,0.533,0.299,1,"Prox1","CGE","24hrvs1hr_SAL","Up","Sig"
"Chd7",0.000140114455348212,1.26512362197478,0.251,0.089,1,"Chd7","CGE","24hrvs1hr_SAL","Up","Sig"
"Cnr1",0.000142688488012062,-0.505433238243792,0.739,0.766,1,"Cnr1","CGE","24hrvs1hr_SAL","Down","Sig"
"Pvt1",0.000148848811914119,-0.528552614071259,0.271,0.304,1,"Pvt1","CGE","24hrvs1hr_SAL","Down","Sig"
"Ldb2",0.000150360707100484,-0.677884223151399,0.347,0.393,1,"Ldb2","CGE","24hrvs1hr_SAL","Down","Sig"
"Dlx1as",0.000150675109013532,0.72822357562624,0.568,0.322,1,"Dlx1as","CGE","24hrvs1hr_SAL","Up","Sig"
"Ankrd12",0.000151534894026365,-0.584147583583307,0.628,0.598,1,"Ankrd12","CGE","24hrvs1hr_SAL","Down","Sig"
"Brinp2",0.000174583188462922,1.66687443787768,0.332,0.136,1,"Brinp2","CGE","24hrvs1hr_SAL","Up","Sig"
"Myt1l",0.000181425297907871,0.338071161526332,0.955,0.85,1,"Myt1l","CGE","24hrvs1hr_SAL","Up","Sig"
"Stmn1",0.000190402869989353,-1.06722462385828,0.302,0.369,1,"Stmn1","CGE","24hrvs1hr_SAL","Down","Sig"
"Lars2",0.000211446312477334,-0.69554848029737,0.402,0.397,1,"Lars2","CGE","24hrvs1hr_SAL","Down","Sig"
"Scn1a",0.000212199522596126,-0.422419155622632,0.613,0.617,1,"Scn1a","CGE","24hrvs1hr_SAL","Down","Sig"
"mt-Co2",0.000213584461068592,-0.868234939636556,0.518,0.626,1,"mt-Co2","CGE","24hrvs1hr_SAL","Down","Sig"
"Gnas",0.000226454259703235,-0.826462065269943,0.442,0.481,1,"Gnas","CGE","24hrvs1hr_SAL","Down","Sig"
"Sox2ot",0.000236283755560287,0.596565222587905,0.955,0.832,1,"Sox2ot","CGE","24hrvs1hr_SAL","Up","Sig"
"Rps29",0.000237435149733541,-1.00515250214533,0.186,0.257,1,"Rps29","CGE","24hrvs1hr_SAL","Down","Sig"
"Tmem181a",0.000245133538830074,0.513158697874665,0.503,0.229,1,"Tmem181a","CGE","24hrvs1hr_SAL","Up","Sig"
"Gria3",0.000251464884797474,-0.705464269622232,0.246,0.257,1,"Gria3","CGE","24hrvs1hr_SAL","Down","Sig"
"Zfyve28",0.000254809269545797,1.49577337178792,0.261,0.065,1,"Zfyve28","CGE","24hrvs1hr_SAL","Up","Sig"
"Chd5",0.000266289541627178,-0.985876351529537,0.256,0.271,1,"Chd5","CGE","24hrvs1hr_SAL","Down","Sig"
"mt-Cytb",0.000291049726762029,-1.09672343088697,0.317,0.467,1,"mt-Cytb","CGE","24hrvs1hr_SAL","Down","Sig"
"L3mbtl3",0.000302083333395001,1.68590881516028,0.302,0.093,1,"L3mbtl3","CGE","24hrvs1hr_SAL","Up","Sig"
"Mir100hg",0.000307762438677399,0.394676126844649,0.91,0.748,1,"Mir100hg","CGE","24hrvs1hr_SAL","Up","Sig"
"Epha6",0.000347662294164712,-0.273090864762004,0.613,0.603,1,"Epha6","CGE","24hrvs1hr_SAL","Down","Sig"
"A330023F24Rik",0.000352260343518527,-0.351330303172766,0.528,0.355,1,"A330023F24Rik","CGE","24hrvs1hr_SAL","Down","Sig"
"Serpini1",0.000356199344308194,-1.02081410025812,0.256,0.299,1,"Serpini1","CGE","24hrvs1hr_SAL","Down","Sig"
"Epb41l5",0.000383982376020275,1.61267929376243,0.296,0.098,1,"Epb41l5","CGE","24hrvs1hr_SAL","Up","Sig"
