"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",2.10853841191643e-55,-0.905096179431935,0.993,1,5.28125616032709e-51,"Gm42418","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Dalrd3",9.11206077838349e-30,1.55769118296437,0.77,0.425,2.28229786316171e-25,"Dalrd3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Cacna1d",7.29323937241795e-26,0.762712823535938,0.963,0.877,1.82673766560952e-21,"Cacna1d","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Oxr1",2.29311166166126e-23,-1.39786515181013,0.654,0.851,5.74355677896296e-19,"Oxr1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"B230209E15Rik",1.85193619248709e-22,-1.30304249531603,0.61,0.792,4.63854458132241e-18,"B230209E15Rik","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Agbl4",5.75617110027155e-21,-0.991164246585468,0.781,0.903,1.44174817548501e-16,"Agbl4","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Pdzd2",5.97796813842607e-21,1.27497668088439,0.755,0.494,1.49730167963158e-16,"Pdzd2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Lncpint",4.25092323047454e-19,-2.0472208437644,0.483,0.671,1.06472874153696e-14,"Lncpint","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Tmem108",8.6154577739973e-18,0.7893667284653,0.874,0.695,2.1579137086531e-13,"Tmem108","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pbx1",1.54139532507475e-17,0.541748264863625,0.996,0.965,3.86073287071472e-13,"Pbx1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Las1l",2.06414734151016e-17,1.18269964385426,0.714,0.454,5.1700698462805e-13,"Las1l","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Arpp21",4.81749640992903e-17,0.37581373350615,1,0.997,1.20663832579492e-12,"Arpp21","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"AY036118",9.48710377647758e-17,-0.716212331941232,0.792,0.909,2.37623488289434e-12,"AY036118","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Trpm3",1.40112040457314e-16,0.545116850091414,0.97,0.731,3.50938627733434e-12,"Trpm3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ephb2",1.87867131020123e-16,1.31373677488761,0.572,0.316,4.70550803066103e-12,"Ephb2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Meg3",7.02318239509618e-16,0.327578406934655,1,1,1.75909649449974e-11,"Meg3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Sgcz",1.0368271608148e-15,-0.994757584461824,0.654,0.836,2.59694098969284e-11,"Sgcz","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Snap25",1.15024144690855e-15,-0.601757484830691,0.911,0.951,2.88100975207185e-11,"Snap25","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Cacna1a",2.16168860202205e-15,0.579052284362078,0.948,0.84,5.41438144148462e-11,"Cacna1a","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ptk2",7.57979484408888e-15,-0.614947115725874,0.862,0.947,1.89851121459894e-10,"Ptk2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Cacna1c",8.0597561162011e-15,0.71147564079931,0.888,0.851,2.01872711442489e-10,"Cacna1c","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ncam1",9.08966988417838e-15,0.452450551365718,0.978,0.912,2.27668961589016e-10,"Ncam1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ankrd13d",1.05228052540575e-14,1.27726959002392,0.506,0.253,2.63564703198379e-10,"Ankrd13d","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Zfp811",1.31103805187508e-14,1.70629724477103,0.346,0.127,3.28375700853151e-10,"Zfp811","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rims2",1.58715467681369e-14,-0.451630454374944,0.985,0.995,3.97534631901525e-10,"Rims2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Dmd",2.10736338428178e-14,-0.662154939681145,0.922,0.962,5.27831306861058e-10,"Dmd","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"A230006K03Rik",2.5301731004941e-14,-0.892721529044815,0.472,0.731,6.33732456480756e-10,"A230006K03Rik","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Zbtb16",3.84041306687647e-14,-1.77755832932633,0.201,0.45,9.6190826086055e-10,"Zbtb16","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Stxbp5l",3.86748756057054e-14,-0.752028156867312,0.907,0.945,9.68689609296104e-10,"Stxbp5l","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Pde1a",3.91250246107452e-14,-0.833428003265171,0.747,0.86,9.79964491425334e-10,"Pde1a","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Jph4",3.93622740248849e-14,0.899353675264235,0.732,0.472,9.85906877501292e-10,"Jph4","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc4a10",4.12726366263096e-14,-0.596438730113037,0.981,0.983,1.03375572957918e-09,"Slc4a10","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Prkar2b",5.58723495452362e-14,0.973572612847298,0.613,0.369,1.39943473905953e-09,"Prkar2b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pabpn1",5.86794055450474e-14,0.793626716516312,0.822,0.659,1.4697430706868e-09,"Pabpn1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Cox7b",6.05376004692102e-14,1.18870318578341,0.554,0.311,1.51628527895231e-09,"Cox7b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Luc7l2",8.29478069806053e-14,-0.557809217173451,0.892,0.953,2.07759372144322e-09,"Luc7l2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Vgll4",1.20346609653364e-13,1.61766856625293,0.368,0.153,3.0143215319878e-09,"Vgll4","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Sybu",1.27652566993859e-13,0.652369837480286,0.892,0.755,3.19731384549518e-09,"Sybu","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Sgcd",2.58748514423661e-13,-1.09355137379397,0.658,0.818,6.48087404076944e-09,"Sgcd","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Cdh9",4.34540531296776e-13,0.863450093420726,0.706,0.47,1.08839366873904e-08,"Cdh9","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Sema6a",6.76936353201499e-13,1.35990519101384,0.461,0.248,1.69552248386379e-08,"Sema6a","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Osbpl10",8.81523111389438e-13,0.882840104651984,0.71,0.522,2.20795093709712e-08,"Osbpl10","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rasgrf1",1.07069220136694e-12,-1.84280895662296,0.186,0.412,2.68176275676378e-08,"Rasgrf1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Frmd3",1.76305830329219e-12,1.07283677038525,0.591,0.365,4.41593213225594e-08,"Frmd3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Mpp6",1.87387437782025e-12,0.862158920789674,0.665,0.429,4.69349315412638e-08,"Mpp6","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Fgf13",2.472473978466e-12,0.797681560284415,0.628,0.374,6.1928055738638e-08,"Fgf13","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Nin",2.7847094064343e-12,0.564671666078477,0.874,0.736,6.97486165029599e-08,"Nin","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Cpt1c",2.81174173893135e-12,1.07778655465896,0.643,0.442,7.04256953350136e-08,"Cpt1c","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Uty",3.21160572380357e-12,0.800360829119248,0.651,0.398,8.0441088564108e-08,"Uty","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Dab1",3.83918121819051e-12,0.327927021762721,0.996,0.976,9.61599719720176e-08,"Dab1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Nfix",6.54735816635891e-12,0.892700184113392,0.669,0.464,1.63991679992792e-07,"Nfix","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Mtss1",7.05233845857771e-12,1.02020615537418,0.561,0.344,1.76639921371996e-07,"Mtss1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Atp2a2",1.1082927657354e-11,-0.750784061578329,0.699,0.843,2.77594089033746e-07,"Atp2a2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Cwc22",1.17256999275712e-11,-1.03891900389445,0.658,0.733,2.93693606085877e-07,"Cwc22","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Mbd5",1.42145274736424e-11,-0.465555114926979,0.896,0.942,3.56031269632321e-07,"Mbd5","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Cnksr2",2.22282454996521e-11,-0.636610909666027,0.963,0.954,5.56750865029787e-07,"Cnksr2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Aldoa",2.32442058364131e-11,-1.40240048511943,0.219,0.447,5.82197623584638e-07,"Aldoa","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"AC149090.1",2.46011910000177e-11,0.585504859492213,0.866,0.703,6.16186030977443e-07,"AC149090.1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Nos1ap",2.72185234590028e-11,-1.64492329347652,0.286,0.491,6.81742357077643e-07,"Nos1ap","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Rufy3",4.07619157483541e-11,0.820549219677051,0.665,0.483,1.02096370374902e-06,"Rufy3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Gm49179",4.12532919923139e-11,1.12905885706379,0.454,0.233,1.03327120453149e-06,"Gm49179","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Leng9",4.15744977747594e-11,1.48925083082548,0.368,0.178,1.0413164457644e-06,"Leng9","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Jakmip2",4.34768795703606e-11,0.558390348319181,0.862,0.761,1.08896540259882e-06,"Jakmip2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Arap2",4.60032944892143e-11,-1.38674319931314,0.342,0.538,1.15224451707135e-06,"Arap2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Taco1",4.87192473177835e-11,1.21640011450611,0.346,0.149,1.22027098756852e-06,"Taco1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Zeb2",4.93326102505376e-11,0.764708503146049,0.729,0.539,1.23563388894522e-06,"Zeb2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Tiam2",5.10625632996576e-11,0.81104653443198,0.636,0.425,1.27896402296652e-06,"Tiam2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Tshz3",5.3414170404659e-11,0.801801460985745,0.751,0.585,1.33786472612549e-06,"Tshz3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Calm1",5.39598065351506e-11,-0.813647251976048,0.509,0.7,1.35153127428592e-06,"Calm1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Csmd1",5.78277487215537e-11,-0.291016148643213,0.996,1,1.44841162222876e-06,"Csmd1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Atp11c",5.91453955132068e-11,1.03988453347819,0.52,0.297,1.48141472141929e-06,"Atp11c","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Bcl11a",6.00230314321707e-11,0.632373110500134,0.844,0.73,1.50339686828158e-06,"Bcl11a","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Kcnmb2",6.9016235940582e-11,1.42384537081633,0.309,0.131,1.72864966160376e-06,"Kcnmb2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Snrnp70",8.9871919503459e-11,0.604333738059772,0.881,0.813,2.25102196780314e-06,"Snrnp70","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pde10a",9.43977417333726e-11,-0.941685470839731,0.643,0.783,2.36438023719578e-06,"Pde10a","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"St6galnac3",9.86817823232597e-11,0.788877161827608,0.799,0.686,2.47168260185069e-06,"St6galnac3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Unc13b",1.19868055288005e-10,0.629588545705007,0.81,0.701,3.00233518079865e-06,"Unc13b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Dpp10",1.24209342835587e-10,-0.866055902874088,0.81,0.824,3.11107141000294e-06,"Dpp10","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Srgap1",2.31599010795745e-10,0.64910609135333,0.725,0.52,5.80086042340101e-06,"Srgap1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Prpf4b",2.46535523322654e-10,0.670904487341395,0.799,0.651,6.17497525266252e-06,"Prpf4b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Grik2",2.66855235523104e-10,-0.548486016506459,0.848,0.95,6.68392308414717e-06,"Grik2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Auts2",2.70117893855098e-10,0.420557001685199,0.967,0.912,6.76564288738864e-06,"Auts2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc16a7",3.02360806159432e-10,0.923308012357827,0.591,0.395,7.5732311118753e-06,"Slc16a7","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rnf152",3.03455407345231e-10,1.43921280914409,0.338,0.162,7.60064758777599e-06,"Rnf152","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Neto2",3.4631431528586e-10,0.557773258418391,0.799,0.643,8.67413465496492e-06,"Neto2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pfkp",3.96934530774954e-10,0.510612405413887,0.918,0.742,9.94201919232028e-06,"Pfkp","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Hip1",4.29345488077684e-10,1.092390859803,0.468,0.277,1.07538164398818e-05,"Hip1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Dpysl5",4.33406140548559e-10,0.85680651064483,0.625,0.415,1.08555236023198e-05,"Dpysl5","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc8a1",5.25649580722423e-10,-0.388509909205654,0.967,0.975,1.31659450483545e-05,"Slc8a1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Atp1b1",5.46030526487617e-10,-0.648038276945698,0.773,0.84,1.36764265969353e-05,"Atp1b1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Ntrk3",5.50269193562413e-10,0.628727261902801,0.866,0.714,1.37825924911578e-05,"Ntrk3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Akt3",5.95116275202762e-10,-0.345389497377672,0.978,0.987,1.49058773450036e-05,"Akt3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Tanc2",6.94831691443778e-10,0.327837031132427,0.989,0.972,1.74034493755923e-05,"Tanc2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"R3hdm1",7.22346744655555e-10,-0.680825942603791,0.937,0.953,1.80926189133877e-05,"R3hdm1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Pou2f2",7.97938041773937e-10,1.27358024158763,0.32,0.145,1.99859541323118e-05,"Pou2f2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Gm4258",8.2411709623052e-10,0.543344024804898,0.814,0.657,2.06416609092858e-05,"Gm4258","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Homer1",9.31364878263116e-10,-1.70033273117339,0.617,0.701,2.33278961058563e-05,"Homer1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Nasp",9.45055467331636e-10,1.24363728079408,0.357,0.175,2.36708042902555e-05,"Nasp","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Kcnq5",1.13888090370013e-09,0.52952976856422,0.881,0.733,2.85255499949771e-05,"Kcnq5","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Mapk10",1.21906083000858e-09,-0.971497985325709,0.81,0.847,3.05338166092249e-05,"Mapk10","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Hsp90aa1",1.36900306288679e-09,-0.770125815750607,0.468,0.654,3.42894197161256e-05,"Hsp90aa1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Syn3",1.70292576646364e-09,0.739542741837758,0.625,0.401,4.26531816726149e-05,"Syn3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc43a2",1.94657871135339e-09,1.02737067138895,0.387,0.192,4.87559569832683e-05,"Slc43a2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Dlg2",2.14949846995606e-09,0.308076772325597,1,1,5.38384881769894e-05,"Dlg2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Eps8",2.29139156624737e-09,1.32422137066459,0.45,0.274,5.73924845597978e-05,"Eps8","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rasgef1b",2.47305122270089e-09,0.474984379764037,0.903,0.8,6.19425139749893e-05,"Rasgef1b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
