"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm47283",2.70476285282305e-34,-1.5413741834183,0.662,0.803,6.77461951746589e-30,"Gm47283","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Lncpint",3.61735916783051e-27,1.79543112059792,0.671,0.347,9.06039950766508e-23,"Lncpint","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Zbtb16",6.52438958622663e-27,2.14415833237923,0.45,0.112,1.63416385966218e-22,"Zbtb16","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Tuba1a",3.50136967914004e-26,-1.09006950985592,0.807,0.899,8.76988063534206e-22,"Tuba1a","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Slc24a2",1.44260323638488e-25,1.27168903557384,0.66,0.306,3.6132883261732e-21,"Slc24a2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Cnksr2",8.54104598166343e-23,0.80485981610501,0.954,0.787,2.13927578702724e-18,"Cnksr2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Stxbp5l",5.21599745013002e-22,0.816088992124529,0.945,0.779,1.30645088133406e-17,"Stxbp5l","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Oxr1",8.91265894218875e-21,0.933498315448385,0.851,0.56,2.23235368525002e-16,"Oxr1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Tmem178",3.01283022250762e-20,1.22531413444629,0.632,0.29,7.54623585831484e-16,"Tmem178","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Homer1",3.92602777966089e-20,1.77173087390215,0.701,0.423,9.83352177971662e-16,"Homer1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Gm42418",7.15294835425835e-20,-0.403386623416575,1,0.997,1.79159897429109e-15,"Gm42418","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Efr3a",7.46039320648344e-20,1.44212277148412,0.621,0.317,1.86860468642791e-15,"Efr3a","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Ankrd33b",3.18788135323618e-19,2.24354449366412,0.259,0.03,7.98468642545065e-15,"Ankrd33b","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Agbl4",3.86068991773476e-19,0.669295312682496,0.903,0.689,9.66987003695026e-15,"Agbl4","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Fmn1",3.12578332476072e-18,1.697272212557,0.404,0.137,7.82914949352818e-14,"Fmn1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Tubb5",1.59971109689823e-17,-1.22104780836243,0.586,0.705,4.00679638440099e-13,"Tubb5","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Tubb2b",2.3763688815711e-17,-1.27532583483043,0.472,0.642,5.95209113767112e-13,"Tubb2b","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Mbnl2",3.22082935172441e-17,1.07173630571258,0.645,0.336,8.06721127726412e-13,"Mbnl2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Arap2",4.98067486896614e-17,1.37307859910402,0.538,0.268,1.24750963442995e-12,"Arap2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Pde4b",1.01186809498289e-16,1.1385088199543,0.572,0.284,2.53442601750364e-12,"Pde4b","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Sidt1",4.35090758127101e-16,1.23357962437619,0.487,0.21,1.08977182188095e-11,"Sidt1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"AY036118",4.84398819213884e-16,-0.652270349827393,0.909,0.918,1.21327372248502e-11,"AY036118","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Asap1",9.79854075635226e-16,0.893249067862824,0.682,0.396,2.45424050324355e-11,"Asap1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"R3hdm1",1.3151417649444e-15,0.736194497897706,0.953,0.833,3.29403557865623e-11,"R3hdm1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Nr4a1",1.47943049303962e-15,1.57670210311238,0.296,0.071,3.70552955591633e-11,"Nr4a1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Rgs7bp",2.078247207414e-15,1.0624875916568,0.602,0.317,5.20538578040984e-11,"Rgs7bp","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Adcy9",5.52851911887854e-15,1.06386309876045,0.55,0.273,1.38472818370551e-10,"Adcy9","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Syne1",7.90120306094401e-15,0.891893911516147,0.684,0.421,1.97901433067465e-10,"Syne1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Mapk10",8.0901765473022e-15,0.924644703949547,0.847,0.642,2.02634651980278e-10,"Mapk10","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Me3",2.41925655813843e-14,1.17542698589113,0.347,0.109,6.05951190116933e-10,"Me3","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Tubb2a",2.4557971847193e-14,-1.01612498155075,0.654,0.71,6.15103520856643e-10,"Tubb2a","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Trim9",3.40560542373486e-14,0.982976196003039,0.654,0.372,8.53001990482871e-10,"Trim9","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Fam135b",4.18492749128364e-14,0.729478908395988,0.711,0.418,1.04819878874181e-09,"Fam135b","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Csmd1",5.59858625083518e-14,0.297397580024994,1,0.995,1.40227789824669e-09,"Csmd1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Rora",5.64447151815848e-14,0.865732384401128,0.591,0.314,1.41377078115315e-09,"Rora","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Tle4",6.40555389365542e-14,-0.521787367213019,0.932,0.951,1.60439908374387e-09,"Tle4","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Nos1ap",6.49974034165215e-14,1.18487314893997,0.491,0.232,1.62798996337361e-09,"Nos1ap","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Mid1",1.16774048196852e-13,-1.99591052164117,0.16,0.331,2.92483958518655e-09,"Mid1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Unc80",1.47697979712235e-13,0.544015443784735,0.843,0.577,3.69939129785236e-09,"Unc80","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Map7",1.73267107252811e-13,1.1735753548821,0.409,0.167,4.33982123536115e-09,"Map7","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Dlgap2",2.00254494722907e-13,0.841534407320735,0.835,0.634,5.01577432932466e-09,"Dlgap2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Cntn4",2.15736642151175e-13,0.913251639039103,0.792,0.56,5.40355567596049e-09,"Cntn4","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Rph3a",3.07686755289483e-13,0.979736634491142,0.425,0.178,7.70663015973567e-09,"Rph3a","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Chn1",5.26760153820197e-13,0.765051814261276,0.613,0.342,1.31937615727345e-08,"Chn1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Kcnd2",7.57994562822864e-13,0.618052394516689,0.943,0.801,1.89854898150243e-08,"Kcnd2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
