"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",3.3534534597652e-20,-0.781192747880773,0.979,0.99,8.39939488067388e-16,"Gm42418","OPCs","24hrvs1hr_SAL","Down","Sig"
"Gm47283",3.91528307910397e-11,-1.61937470799121,0.28,0.448,9.80660952823172e-07,"Gm47283","OPCs","24hrvs1hr_SAL","Down","Sig"
"mt-Co3",6.59109239370462e-11,-1.14921368778862,0.453,0.714,1.6508709118512e-06,"mt-Co3","OPCs","24hrvs1hr_SAL","Down","Sig"
"AY036118",8.97568669113189e-11,-1.02177215136711,0.49,0.599,2.2481402455278e-06,"AY036118","OPCs","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",1.0668883909147e-08,-1.31777618153688,0.313,0.464,0.000267223535272405,"Tuba1a","OPCs","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",1.66786607532002e-08,-1.7959240969516,0.111,0.276,0.000417750415885405,"Hsp90ab1","OPCs","24hrvs1hr_SAL","Down","Sig"
"Actb",1.54264082139141e-06,-1.71057392428916,0.137,0.26,0.0386385246533908,"Actb","OPCs","24hrvs1hr_SAL","Down","Sig"
"Ralyl",2.23832949327728e-06,-0.662237255441279,0.451,0.458,0.056063438818116,"Ralyl","OPCs","24hrvs1hr_SAL","Down","Sig"
"mt-Co1",3.17284827820147e-06,-1.17995215427073,0.345,0.542,0.0794703308241122,"mt-Co1","OPCs","24hrvs1hr_SAL","Down","Sig"
"Apc",4.35803870113775e-06,-0.71061932108445,0.422,0.469,0.109155795347397,"Apc","OPCs","24hrvs1hr_SAL","Down","Sig"
"Meg3",1.43541992998181e-05,-0.203686713924838,0.394,0.411,0.359529629862544,"Meg3","OPCs","24hrvs1hr_SAL","Down","Sig"
"Ptbp2",1.53298035345977e-05,-0.612281834049572,0.557,0.615,0.383965589131069,"Ptbp2","OPCs","24hrvs1hr_SAL","Down","Sig"
"Cdc14a",1.73411284994862e-05,1.28928522110766,0.293,0.104,0.434343245526631,"Cdc14a","OPCs","24hrvs1hr_SAL","Up","Sig"
"Pcsk2",3.72497702990204e-05,1.23179654314733,0.415,0.146,0.932994996679565,"Pcsk2","OPCs","24hrvs1hr_SAL","Up","Sig"
"Gm4258",5.51315068057456e-05,0.887579051904804,0.611,0.312,1,"Gm4258","OPCs","24hrvs1hr_SAL","Up","Sig"
"Cpe",7.53245681320531e-05,-0.87553107772666,0.339,0.349,1,"Cpe","OPCs","24hrvs1hr_SAL","Down","Sig"
"Ubr1",8.01882966494913e-05,0.872991882986701,0.365,0.146,1,"Ubr1","OPCs","24hrvs1hr_SAL","Up","Sig"
"Tenm2",0.000105357544953092,-0.224180154118359,0.51,0.469,1,"Tenm2","OPCs","24hrvs1hr_SAL","Down","Sig"
"Ccser1",0.000107964939844603,-0.326839918984856,0.86,0.854,1,"Ccser1","OPCs","24hrvs1hr_SAL","Down","Sig"
"Camk1d",0.000119063845737584,0.807126020419905,0.658,0.359,1,"Camk1d","OPCs","24hrvs1hr_SAL","Up","Sig"
"Cacna2d1",0.000144539656786789,-0.590752164680665,0.275,0.323,1,"Cacna2d1","OPCs","24hrvs1hr_SAL","Down","Sig"
"Cstf3",0.000180417558333646,0.203380285823094,0.316,0.151,1,"Cstf3","OPCs","24hrvs1hr_SAL","Up","Sig"
"Myt1l",0.000271396557048656,-0.439188850099542,0.251,0.24,1,"Myt1l","OPCs","24hrvs1hr_SAL","Down","Sig"
"Slc4a10",0.000289184475951168,-0.462387073911366,0.425,0.406,1,"Slc4a10","OPCs","24hrvs1hr_SAL","Down","Sig"
"E130114P18Rik",0.000335716038979821,0.679195540850222,0.251,0.109,1,"E130114P18Rik","OPCs","24hrvs1hr_SAL","Up","Sig"
"mt-Nd1",0.000353584893993446,-1.10139554883084,0.282,0.396,1,"mt-Nd1","OPCs","24hrvs1hr_SAL","Down","Sig"
"Ctnna3",0.000385529297255224,0.91365825844138,0.412,0.203,1,"Ctnna3","OPCs","24hrvs1hr_SAL","Up","Sig"
"Ckb",0.000388153569056555,-1.16877004256914,0.202,0.302,1,"Ckb","OPCs","24hrvs1hr_SAL","Down","Sig"
"Ank3",0.000393176207630727,0.0432615500365876,0.718,0.542,1,"Ank3","OPCs","24hrvs1hr_SAL","Up","pValue"
"Rbfox1",0.00047934158584194,-0.100810998333028,0.878,0.818,1,"Rbfox1","OPCs","24hrvs1hr_SAL","Down","pValue"
"Lhfpl3",0.000565517049591466,0.100648623342416,0.995,0.99,1,"Lhfpl3","OPCs","24hrvs1hr_SAL","Up","pValue"
"5730522E02Rik",0.000571252569961409,-0.326236193192887,0.355,0.323,1,"5730522E02Rik","OPCs","24hrvs1hr_SAL","Down","Sig"
"Trim24",0.0007935403163103,1.01101116887563,0.368,0.156,1,"Trim24","OPCs","24hrvs1hr_SAL","Up","Sig"
"Brinp3",0.000806409455620339,-0.529733489924674,0.951,0.948,1,"Brinp3","OPCs","24hrvs1hr_SAL","Down","Sig"
"Tanc1",0.000824446867195837,0.385810169721281,0.342,0.188,1,"Tanc1","OPCs","24hrvs1hr_SAL","Up","Sig"
"Xkr4",0.000828169886658242,-0.298831746879406,0.653,0.568,1,"Xkr4","OPCs","24hrvs1hr_SAL","Down","Sig"
"Cst3",0.000881884705683593,-1.04073304814665,0.275,0.255,1,"Cst3","OPCs","24hrvs1hr_SAL","Down","Sig"
"Fam222b",0.000919277718941189,0.707270245594611,0.326,0.141,1,"Fam222b","OPCs","24hrvs1hr_SAL","Up","Sig"
"Prpf4b",0.000967732805491524,0.701268423856393,0.606,0.349,1,"Prpf4b","OPCs","24hrvs1hr_SAL","Up","Sig"
"Rtn3",0.000973119078450768,-0.562076902064412,0.358,0.349,1,"Rtn3","OPCs","24hrvs1hr_SAL","Down","Sig"
