"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",4.86878717206749e-221,-0.975675275517844,0.986,0.999,1.21948512298775e-216,"Gm42418","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Dalrd3",2.43116020354852e-89,1.50616671078856,0.815,0.565,6.08932696182797e-85,"Dalrd3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Meg3",1.36229731374006e-85,0.428260634830325,0.999,1,3.41214608172473e-81,"Meg3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Msra",5.4030209327064e-76,0.806123699150405,0.992,0.984,1.35329465301497e-71,"Msra","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Dmd",3.49564886297649e-69,-0.793932033075899,0.966,0.986,8.7555517070972e-65,"Dmd","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"AY036118",7.415171277139e-64,-0.699082677700659,0.81,0.946,1.857277949785e-59,"AY036118","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Cwc22",5.12610343330278e-62,-1.12725372522416,0.631,0.852,1.28393512693935e-57,"Cwc22","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Ddx5",4.81992554041086e-56,0.715935075245498,0.962,0.919,1.20724675010671e-51,"Ddx5","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Atp1b1",2.06109259906552e-52,-0.665624663094263,0.811,0.936,5.1624186328794e-48,"Atp1b1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Las1l",3.13230395723951e-52,1.14213300361742,0.755,0.563,7.84548172169781e-48,"Las1l","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Pabpn1",1.36477917437018e-51,0.866665783176212,0.856,0.712,3.41836239804498e-47,"Pabpn1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Khdrbs3",1.00936752680529e-50,-0.83691835018481,0.762,0.902,2.5281628443892e-46,"Khdrbs3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Magi2",2.97128009635324e-47,-0.478471799564663,0.994,1,7.44216525733596e-43,"Magi2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Cpt1c",3.64838182985578e-46,1.15837164222935,0.687,0.496,9.13810196923977e-42,"Cpt1c","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Hsp90aa1",2.4781883723149e-43,-0.883663509573136,0.467,0.725,6.20711841613714e-39,"Hsp90aa1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Tanc1",1.08835368128689e-42,-2.40991176503745,0.109,0.339,2.72599946551927e-38,"Tanc1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Snrnp70",3.09343892577376e-42,0.803686490614215,0.877,0.795,7.74813647738555e-38,"Snrnp70","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Gpm6a",4.67244488175352e-42,-0.429864009017258,0.956,0.994,1.1703072695328e-37,"Gpm6a","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Wipf3",5.29143494653606e-42,-1.41318764201495,0.323,0.571,1.32534571105889e-37,"Wipf3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Pcsk2",7.56458169984884e-42,0.685445136347665,0.908,0.88,1.89470077836114e-37,"Pcsk2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Lncpint",4.90737113702564e-41,-1.95523088283726,0.353,0.554,1.22914924869081e-36,"Lncpint","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Prpf4b",1.17471359365288e-40,0.776117462984324,0.841,0.762,2.94230513802238e-36,"Prpf4b","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Arpp21",4.93360037624755e-38,0.385888627071311,0.989,0.991,1.23571888623872e-33,"Arpp21","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Slit3",3.65934123880913e-36,0.40014511994042,0.988,0.989,9.16555200084524e-32,"Slit3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Cpe",4.18880643275427e-35,-0.624055573284833,0.768,0.904,1.04917034721196e-30,"Cpe","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Pja2",1.97562619116375e-34,-0.625424378062489,0.614,0.81,4.94835092100784e-30,"Pja2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Lrfn5",2.41374312478264e-34,-0.326724655035083,0.99,0.999,6.04570240464307e-30,"Lrfn5","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Oxr1",1.02615020506216e-33,-0.778319918180125,0.746,0.876,2.5701984186192e-29,"Oxr1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Itga8",1.0580030090062e-33,-0.971156739761959,0.399,0.628,2.64998013665784e-29,"Itga8","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Akt3",7.25779600824686e-33,-0.373549811848606,0.984,0.998,1.81786016618559e-28,"Akt3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
